formula_length,formula_file,formula_index,repetition,ldba_seconds,boolean_generation_seconds
4,conf/formulas/warehouse/reach-4.yaml,0,16,0.3552741360035725,0.0034075840085279197
4,conf/formulas/warehouse/reach-4.yaml,0,17,0.3569787180167623,0.0016857959853950888
4,conf/formulas/warehouse/reach-4.yaml,0,18,0.35531079198699445,0.0017502009868621826
4,conf/formulas/warehouse/reach-4.yaml,0,19,0.37306663300842047,0.0016833320260047913
4,conf/formulas/warehouse/reach-4.yaml,0,20,0.37417255601030774,0.002888649993110448
4,conf/formulas/warehouse/reach-4.yaml,0,21,0.3494067060237285,0.002178983995690942
4,conf/formulas/warehouse/reach-4.yaml,0,22,0.37715433599078096,0.0027468560147099197
4,conf/formulas/warehouse/reach-4.yaml,0,23,0.36318133198074065,0.0032080399978440255
4,conf/formulas/warehouse/reach-4.yaml,0,24,0.35153706499841064,0.001683232985669747
4,conf/formulas/warehouse/reach-4.yaml,0,25,0.3290301469969563,0.0016889020043890923
4,conf/formulas/warehouse/reach-4.yaml,0,26,0.39919150798232295,0.0035218959965277463
4,conf/formulas/warehouse/reach-4.yaml,0,27,0.38862132700160146,0.0033394930069334805
4,conf/formulas/warehouse/reach-4.yaml,0,28,0.3644232749938965,0.001749140996253118
4,conf/formulas/warehouse/reach-4.yaml,0,29,0.3852483590017073,0.0033161889878101647
4,conf/formulas/warehouse/reach-4.yaml,0,30,0.3675785940140486,0.0027589829987846315
4,conf/formulas/warehouse/reach-4.yaml,0,31,0.36315498600015417,0.0017436390044167638
4,conf/formulas/warehouse/reach-4.yaml,0,32,0.3343320849817246,0.0017545819864608347
4,conf/formulas/warehouse/reach-4.yaml,1,0,0.398070989002008,0.004674983996665105
4,conf/formulas/warehouse/reach-4.yaml,1,1,0.3628078989859205,0.00173002399969846
4,conf/formulas/warehouse/reach-4.yaml,1,2,0.4584883420029655,0.0037322970165405422
4,conf/formulas/warehouse/reach-4.yaml,1,3,0.3891602650110144,0.0020110429904889315
4,conf/formulas/warehouse/reach-4.yaml,1,4,0.4754540490102954,0.0018820189870893955
4,conf/formulas/warehouse/reach-4.yaml,1,5,0.34633694498916157,0.0033714579767547548
4,conf/formulas/warehouse/reach-4.yaml,1,6,0.3681483760010451,0.0017752469866536558
4,conf/formulas/warehouse/reach-4.yaml,1,7,0.3602983329910785,0.002194041997427121
4,conf/formulas/warehouse/reach-4.yaml,1,8,0.41153456800384447,0.002054874988971278
4,conf/formulas/warehouse/reach-4.yaml,1,9,0.3668755549879279,0.0017388899868819863
4,conf/formulas/warehouse/reach-4.yaml,1,10,0.3656992699834518,0.0018280800140928477
4,conf/formulas/warehouse/reach-4.yaml,1,11,0.3770711880060844,0.0017173349915537983
